COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
73;0;429;4165.64102564103;4378.97435897436;5094.8717948718;4860.51282051282;4505.64102564103;4492.82051282051;4202.5641025641;4185.12820512821;4505.64102564103;4425.12820512821;3925.12820512821;4409.23076923077;4139.48717948718;4348.20512820513;1700;1681;235.907;235.835479736328;0;0;0;0;
74;0;442;4169.23076923077;4381.53846153846;5100;4866.66666666667;4504.61538461538;4500;4203.07692307692;4187.17948717949;4506.66666666667;4425.12820512821;3928.20512820513;4413.84615384615;4142.05128205128;4352.82051282051;1700;1680;235.915;235.835479736328;0;0;0;0;
75;0;438;4167.17948717949;4384.61538461538;5106.15384615385;4868.20512820513;4506.66666666667;4503.07692307692;4204.61538461538;4192.82051282051;4504.10256410256;4426.66666666667;3929.23076923077;4413.84615384615;4144.10256410256;4351.28205128205;1700;1680;235.923;235.835479736328;0;0;0;0;
76;0;462;4165.64102564103;4383.58974358974;5105.64102564103;4869.23076923077;4509.23076923077;4500.51282051282;4204.10256410256;4192.82051282051;4507.17948717949;4424.10256410256;3928.71794871795;4414.8717948718;4142.05128205128;4348.71794871795;1699;1680;235.931;235.835479736328;0;0;0;0;
77;0;438;4165.64102564103;4383.07692307692;5106.15384615385;4871.28205128205;4509.23076923077;4498.46153846154;4201.53846153846;4189.74358974359;4509.23076923077;4425.12820512821;3929.23076923077;4414.8717948718;4139.48717948718;4352.30769230769;1700;1680;235.939;235.835479736328;0;0;0;0;
78;0;442;4160;4382.5641025641;5107.17948717949;4865.12820512821;4508.71794871795;4494.8717948718;4200.51282051282;4190.76923076923;4506.15384615385;4426.66666666667;3927.17948717949;4412.82051282051;4139.48717948718;4351.28205128205;1699;1680;235.947;235.835479736328;0;0;0;0;
79;0;438;4153.33333333333;4377.94871794872;5104.10256410256;4857.94871794872;4507.69230769231;4491.28205128205;4201.02564102564;4190.25641025641;4506.66666666667;4418.46153846154;3925.12820512821;4412.82051282051;4136.92307692308;4342.5641025641;1700;1681;235.954;235.835479736328;0;0;0;0;
80;0;462;4154.35897435897;4376.41025641026;5103.58974358974;4862.5641025641;4508.20512820513;4491.79487179487;4194.35897435897;4185.12820512821;4504.61538461538;4413.33333333333;3924.61538461539;4413.33333333333;4135.89743589744;4338.46153846154;1699;1680;235.962;235.835479736328;0;0;0;0;
81;0;438;4151.28205128205;4373.33333333333;5105.12820512821;4867.69230769231;4508.71794871795;4492.30769230769;4190.76923076923;4184.10256410256;4495.89743589744;4415.38461538462;3918.97435897436;4406.15384615385;4134.8717948718;4337.4358974359;1699;1681;235.97;235.835479736328;0;0;0;0;
82;0;442;4139.48717948718;4362.05128205128;5101.53846153846;4859.48717948718;4507.69230769231;4490.76923076923;4193.33333333333;4182.5641025641;4490.25641025641;4413.84615384615;3909.74358974359;4393.33333333333;4125.64102564103;4329.23076923077;1699;1680;235.978;235.835479736328;0;0;0;0;
83;0;438;4134.35897435897;4354.8717948718;5091.79487179487;4852.82051282051;4505.64102564103;4491.28205128205;4191.79487179487;4174.8717948718;4492.82051282051;4408.20512820513;3904.61538461539;4388.71794871795;4117.94871794872;4316.41025641026;1697;1682;235.986;235.835479736328;0;0;0;0;
84;0;462;4136.41025641026;4358.46153846154;5087.17948717949;4856.41025641026;4506.15384615385;4491.79487179487;4186.66666666667;4168.20512820513;4492.82051282051;4402.05128205128;3900.51282051282;4390.76923076923;4119.48717948718;4313.33333333333;1698;1681;235.993;235.835479736328;0;0;0;0;
85;0;438;4134.8717948718;4363.07692307692;5089.74358974359;4858.46153846154;4506.66666666667;4492.30769230769;4185.64102564103;4172.30769230769;4489.23076923077;4401.02564102564;3895.89743589744;4390.25641025641;4120;4320;1697;1681;236.001;235.835479736328;0;0;0;0;
86;0;442;4135.89743589744;4365.64102564103;5092.30769230769;4856.41025641026;4505.12820512821;4491.28205128205;4192.30769230769;4182.05128205128;4491.79487179487;4409.23076923077;3897.4358974359;4386.15384615385;4119.48717948718;4322.5641025641;1698;1682;236.009;235.835479736328;0;0;0;0;
87;0;438;4136.92307692308;4367.17948717949;5090.25641025641;4855.38461538462;4506.66666666667;4490.25641025641;4194.8717948718;4186.66666666667;4494.8717948718;4414.35897435897;3903.58974358974;4381.53846153846;4122.5641025641;4320;1697;1681;236.017;235.960586547852;0;0;0;0;
88;0;462;4134.35897435897;4363.07692307692;5088.71794871795;4855.89743589744;4506.15384615385;4491.28205128205;4190.25641025641;4184.10256410256;4494.35897435897;4411.28205128205;3907.17948717949;4383.58974358974;4126.66666666667;4320;1697;1681;236.025;235.960586547852;0;0;0;0;
89;0;438;4135.38461538462;4362.05128205128;5090.25641025641;4855.38461538462;4504.61538461538;4492.82051282051;4190.76923076923;4184.61538461538;4493.84615384615;4412.30769230769;3910.76923076923;4389.74358974359;4128.20512820513;4323.07692307692;1697;1680;236.033;235.960586547852;0;0;0;0;
90;0;442;4139.48717948718;4364.61538461538;5092.30769230769;4855.89743589744;4507.69230769231;4494.8717948718;4200;4187.69230769231;4493.84615384615;4414.8717948718;3909.23076923077;4389.23076923077;4127.69230769231;4324.61538461538;1699;1680;236.04;235.960586547852;0;0;0;0;
91;0;438;4135.89743589744;4361.53846153846;5089.74358974359;4856.92307692308;4509.74358974359;4494.8717948718;4202.05128205128;4181.02564102564;4492.82051282051;4411.79487179487;3901.53846153846;4380;4125.12820512821;4320;1699;1680;236.048;235.960586547852;0;0;0;0;
92;0;462;4129.74358974359;4355.89743589744;5086.66666666667;4854.35897435897;4507.17948717949;4493.33333333333;4195.38461538462;4168.71794871795;4489.74358974359;4403.58974358974;3894.8717948718;4377.4358974359;4121.53846153846;4312.30769230769;1699;1681;236.056;235.960586547852;0;0;0;0;
93;0;438;4128.20512820513;4354.8717948718;5088.20512820513;4851.79487179487;4507.17948717949;4493.84615384615;4192.82051282051;4167.69230769231;4488.20512820513;4397.94871794872;3893.33333333333;4379.48717948718;4121.02564102564;4309.74358974359;1700;1679;236.064;235.960586547852;0;0;0;0;
